Rank,Handle,Points,Penalty,Points (Buzz Lightyear),Penalty,Tries,Points (A Simple Game),Penalty,Tries,Points (Chocolate Rounds),Penalty,Tries,Points (Eloa’s Secret),Penalty,Tries,Points (Uncle M),Penalty,Tries,Points (Fun With Fraction),Penalty,Tries,Points (Cache Cash),Penalty,Tries,Points (Weapon Supplier),Penalty,Tries,Points (Beautiful String),Penalty,Tries,Points (Hyperloop),Penalty,Tries,Points (Match the Color),Penalty,Tries,Points (Office Para),Penalty,Tries
41,subiupc2017.55,400,619,,,,,,,100,99,2,,,,100,158,1,,,,0,0,0,,,,,,,100,354,6,100,8,1,,,
42,subiupc2017.82,400,628,,,,,,,100,107,2,,,,100,246,2,,,,0,0,0,,,,,,,100,254,2,100,21,1,,,
43,subiupc2017.92,400,643,,,,100,191,1,100,314,6,,,,100,111,1,,,,0,0,0,,,,,,,,,,100,27,1,,,
44,subiupc2017.61,400,657,,,,100,267,5,100,118,3,,,,0,0,0,,,,100,236,1,,,,0,0,0,0,0,0,100,36,2,,,
45,subiupc2017.34,400,670,,,,100,230,2,100,127,1,,,,100,290,1,,,,0,0,0,,,,,,,,,,100,23,1,,,
46,subiupc2017.81,400,779,,,,100,302,2,100,80,1,,,,100,312,1,,,,,,,,,,0,0,0,,,,100,85,3,,,
47,subiupc2017.43,400,905,,,,,,,100,276,6,,,,100,259,5,,,,100,340,4,,,,0,0,0,0,0,0,100,30,1,,,
48,subiupc2017.48,300,222,,,,0,0,0,100,44,1,,,,100,165,1,,,,0,0,0,,,,,,,0,0,0,100,13,1,,,
49,subiupc2017.80,300,327,,,,,,,100,117,3,,,,100,187,1,,,,0,0,0,,,,,,,,,,100,23,1,,,
50,subiupc2017.59,300,344,,,,0,0,0,100,86,2,,,,100,208,1,,,,0,0,0,,,,,,,,,,100,50,2,,,
51,subiupc2017.9,300,404,,,,0,0,0,100,147,2,,,,100,244,2,,,,0,0,0,,,,,,,0,0,0,100,13,1,,,
52,subiupc2017.58,300,418,,,,,,,100,174,2,,,,100,232,1,,,,0,0,0,,,,0,0,0,,,,100,12,1,,,
53,subiupc2017.60,300,429,,,,0,0,0,100,171,3,,,,100,244,1,,,,0,0,0,,,,,,,,,,100,14,1,,,
54,subiupc2017.27,300,442,,,,0,0,0,100,132,1,,,,,,,,,,100,291,2,,,,,,,,,,100,19,1,,,
55,subiupc2017.88,300,500,,,,,,,100,137,3,,,,0,0,0,,,,100,333,2,,,,0,0,0,,,,100,30,1,,,
56,subiupc2017.64,300,506,,,,0,0,0,100,177,2,,,,100,241,1,,,,0,0,0,,,,0,0,0,,,,100,88,3,,,
57,subiupc2017.93,300,617,,,,,,,100,115,1,,,,100,433,7,,,,,,,,,,,,,,,,100,69,3,,,
